"Label","Value","StdDev","(Val-1.0)/Stddev","CumNorm","lo5","hi5","hi40","lo40","Yr","SSB","dep","dep_lo5","dep_hi5","dep_lo40","dep_hi40"
"Dyn_Bzero_1994",167164,39411.9,NA,NA,89918.0954377059,244409.904562294,200333.891895452,133994.108104548,1994,75125.1,0.449409561867388,0.835483665821701,0.307373386256744,0.560659726481289,0.374999453608206
"Dyn_Bzero_1995",160752,31530.6,NA,NA,98953.1595890614,222550.840410939,187288.822467294,134215.177532706,1995,81704.3,0.508263038718025,0.82568662121863,0.367126450069268,0.608756040128845,0.43624760369385
"Dyn_Bzero_1996",166194,23430.6,NA,NA,120270.867863836,212117.132136164,185913.690475354,146474.309524646,1996,93022.6,0.559722974355272,0.773442494032014,0.438543549326728,0.635077921185541,0.500353684347587
"Dyn_Bzero_1997",154657,17569.8,NA,NA,120220.824784428,189093.175215572,169444.116749629,139869.883250371,1997,83944.6,0.542779182319585,0.698253402856982,0.443932468235835,0.600162079564598,0.49541171219321
"Dyn_Bzero_1998",139502,13347.8,NA,NA,113340.792727156,165663.207272844,150735.791901485,128268.208098515,1998,69345.4,0.497092514802655,0.611830906873346,0.41859264432681,0.540628118440228,0.460046012464788
"Dyn_Bzero_1999",149293,11927.8,NA,NA,125914.941585203,172671.058414797,159331.689749811,139254.310250189,1999,72937.5,0.48855271178153,0.579260086863045,0.422407209810383,0.52377193832606,0.457771458487193
"Dyn_Bzero_2000",146051,11202.5,NA,NA,124094.50346319,168007.49653681,155479.261869101,136622.738130899,2000,63250.2,0.43306927032338,0.509693807822534,0.376472486667534,0.462955148354584,0.406807951360426
"Dyn_Bzero_2001",148271,11174.3,NA,NA,126369.774447554,170172.225552446,157675.528150314,138866.471849686,2001,64140.7,0.43259099891415,0.507563618597892,0.376916384514418,0.461887589895912,0.406789187595769
"Dyn_Bzero_2002",147658,11299.7,NA,NA,125510.994963893,169805.005036107,157168.067453004,138147.932546996,2002,62148.8,0.420896937517778,0.495166180603373,0.366000990293453,0.449871372333841,0.395428925271882
"Dyn_Bzero_2003",134294,9744.14,NA,NA,115195.836539684,153392.163460316,142494.875126907,126093.124873093,2003,55988.4,0.416909169434226,0.486027982276187,0.365001697198727,0.444024208745321,0.392915183441764
"Dyn_Bzero_2004",142855,9380.44,NA,NA,124469.675440861,161240.324559139,150749.777484257,134960.222515743,2004,61116.2,0.427819817297259,0.491012769042191,0.379037937110974,0.452846022781792,0.405414860439065
"Dyn_Bzero_2005",148860,9153.55,NA,NA,130919.371669313,166800.628330687,156563.822042571,141156.177957429,2005,58102.7,0.390317748219804,0.443805215829789,0.348336217803748,0.411619957700493,0.371111916162862
"Dyn_Bzero_2006",138582,8107,NA,NA,122692.571977334,154471.428022666,145405.023340576,131758.976659424,2006,49798.9,0.359346091122945,0.405883577118262,0.322382596169777,0.377954514087659,0.342484041169322
"Dyn_Bzero_2007",123909,7122.32,NA,NA,109949.509313631,137868.490686369,129903.295744301,117914.704255699,2007,42606.8,0.343855571427419,0.387512416071492,0.309039431619834,0.361335766128089,0.327988599179703
"Dyn_Bzero_2008",118062,7086.45,NA,NA,104172.813221756,131951.186778244,124026.106790653,112097.893209347,2008,40563.3,0.343576256543172,0.389384703604496,0.307411407130202,0.36185604241684,0.327054529482796
"Dyn_Bzero_2009",130845,8130.64,NA,NA,114909.238428739,146780.761571261,137687.919266537,124002.080733463,2009,52410.6,0.400554854981084,0.456104319519116,0.357067230330149,0.422659036767733,0.380647774177945
"Dyn_Bzero_2010",134877,8581.87,NA,NA,118056.843879995,151697.156120005,142099.684015762,127654.315984238,2010,54896.5,0.407011573507714,0.465000572569959,0.3618821961077,0.430040297319665,0.386323871022195
"Dyn_Bzero_2011",127007,8008.8,NA,NA,111310.040440616,142703.959559384,133747.376135439,120266.623864561,2011,49361.7,0.388653381309692,0.443461342791755,0.345902805727397,0.410435567357315,0.36906667948397
"Dyn_Bzero_2012",123859,7786.55,NA,NA,108597.64243618,139120.35756382,130412.325816277,117305.674183723,2012,47510.6,0.383586174601765,0.437492001982648,0.34150717286796,0.405015361197187,0.36431065624067
"Dyn_Bzero_2013",129007,8380.09,NA,NA,112582.325412796,145431.674587204,136059.861683252,121954.138316748,2013,50896.4,0.394524328137233,0.45208161950273,0.349967777958036,0.417340491290326,0.374073583276801
"Dyn_Bzero_2014",132151,8768.75,NA,NA,114964.565810564,149337.434189436,139530.966191892,124771.033808108,2014,53342,0.403644315971881,0.463986443335032,0.357191084000648,0.427519099361136,0.382295066506172
"Dyn_Bzero_2015",138114,8941.87,NA,NA,120588.256845561,155639.743154439,145639.667659849,130588.332340151,2015,55549.7,0.402201804306587,0.460655966452383,0.356912051344616,0.425380269466236,0.381418750073916
"Dyn_Bzero_2016",138378,8660.77,NA,NA,121403.202721615,155352.797278385,145667.087931091,131088.912068909,2016,54714.8,0.395401003049618,0.450686627481026,0.352197069885736,0.417386940943094,0.375615389702052
"Dyn_Bzero_2017",124663,7743.57,NA,NA,109485.881688235,139840.118311765,131180.152935658,118145.847064342,2017,48017,0.385174430263992,0.438567962001987,0.34337070491423,0.406421395191742,0.366038603595405
"Dyn_Bzero_2018",115607,7332.83,NA,NA,101234.917295245,129979.082704755,121778.46543018,109435.53456982,2018,43185.5,0.373554369545097,0.426587003316773,0.332249613563554,0.39462045093267,0.354623453723513
"Dyn_Bzero_2019",105574,7096.16,NA,NA,91665.7819714662,119482.218028534,111546.278932831,99601.7210671692,2019,38595.6,0.365578646257601,0.421046972708028,0.323023799163009,0.387499328189038,0.346005266775783
"Dyn_Bzero_2020",93438.5,6860.8,NA,NA,79991.5790948676,106885.420905132,99212.694959297,87664.305040703,2020,36612.2,0.39183206066022,0.457700678174874,0.342536893151178,0.417640908497487,0.369027371094198
"Dyn_Bzero_2021",100310,8628.9,NA,NA,83397.6667738023,117222.333226198,107572.265462377,93047.7345376227,2021,45807.8,0.456662346725152,0.54926956319106,0.39077707071064,0.492304301954586,0.42583280925715
"Dyn_Bzero_2022",132858,12781.2,NA,NA,107807.308320797,157908.691679203,143614.929310542,122101.070689458,2022,71590.6,0.538850502039772,0.664060731272239,0.453367064464309,0.586322458892091,0.498489957441666
"Dyn_Bzero_2023",131987,13587.5,NA,NA,105355.989360062,158618.010639938,143422.528511172,120551.471488828,2023,73973.5,0.560460499897717,0.702129043154727,0.466362550517163,0.613625856958995,0.515773224526841
"Dyn_Bzero_2024",139777,16142.9,NA,NA,108137.497393968,171416.502606032,153363.207411444,126190.792588556,2024,84209.2,0.602453908726042,0.77872340334646,0.491254918399186,0.667316515512851,0.549083456334366
